id,title,handle,status,product_type,group,collections,price_eur,max_price_eur,total_inventory,tracks_inventory,inventory_policy,variants,unbuyable_dead_end,has_dimensions,dimensions_value,has_what_fits,has_lead_time,has_materials_craft,has_siblings,has_seo_title,has_seo_description,has_description,description_chars,description_under_200,has_image,image_count,online_store_url
14918489571653,Vault Bag,vault-bag,ACTIVE,Handbag,Handbags,Featured products; Trunks; Products; Bags; New In,1840.00,1840.00,1,true,DENY,1,false,false,,false,false,true,false,true,true,true,489,false,true,10,https://www.oberndoerferco.com/en-de/products/vault-bag
15071329124677,Jewelry Box x Trax Nyc,jewelry-box-x-trax-nyc,ACTIVE,Watchbox,Jewellery boxes,Featured products; Trunks; Products; New In; Oberndörfer x Trax NYC,1930.00,1930.00,1,true,DENY,1,false,false,,false,false,true,false,true,true,true,485,false,true,8,https://www.oberndoerferco.com/en-de/products/jewelry-box-x-trax-nyc
9584844996933,Leather Jewelry Box - Beige & Brown,nabuk-gray-brown-leather-box,ACTIVE,Watchbox,Jewellery boxes,Featured products; Trunks; Products,1890.00,1890.00,1,true,DENY,1,false,false,,false,false,true,false,true,true,true,321,false,true,8,https://www.oberndoerferco.com/en-de/products/nabuk-gray-brown-leather-box
9735745896773,Leather Necklace Box,leather-necklace-box,ACTIVE,Watchbox,Jewellery boxes,Featured products; Trunks; JEWELRY,2190.00,2190.00,1,true,CONTINUE,1,false,false,,false,false,true,false,true,true,true,455,false,true,7,https://www.oberndoerferco.com/en-de/products/leather-necklace-box
9584839033157,Nabuk Leather Jewelry Box - Blue,nabuk-blue-jewelry-leather-box,ACTIVE,Watchbox,Jewellery boxes,Featured products; Trunks; Products,1930.00,1930.00,1,true,DENY,1,false,true,L 26.5 cm × W 21 cm × H 11.5 cm (10.4 × 8.3 × 4.5 in),false,false,true,true,true,true,true,382,false,true,5,https://www.oberndoerferco.com/en-de/products/nabuk-blue-jewelry-leather-box
9583985099077,Nabuk Leather Jewelry Box - Grey,nabuk-gray-jewelry-leather-box,ACTIVE,Watchbox,Jewellery boxes,Featured products; Trunks; Products,1930.00,1930.00,1,true,DENY,1,false,true,L 26.5 cm × W 21 cm × H 11.5 cm (10.4 × 8.3 × 4.5 in),false,false,true,true,true,true,true,382,false,true,7,https://www.oberndoerferco.com/en-de/products/nabuk-gray-jewelry-leather-box
9584840933701,Nabuk Leather Jewelry Box - Red,nabuk-red-jewelry-leather-box,ACTIVE,Watchbox,Jewellery boxes,Featured products; Trunks; Products,1930.00,1930.00,0,true,CONTINUE,1,false,true,L 26.5 cm × W 21 cm × H 11.5 cm (10.4 × 8.3 × 4.5 in),false,false,true,true,true,true,true,381,false,true,6,https://www.oberndoerferco.com/en-de/products/nabuk-red-jewelry-leather-box
9584829301061,Nabuk Leather Jewelry Box - Yellow,nabuk-yellow-jewelry-leather-box,ACTIVE,Watchbox,Jewellery boxes,Featured products; Trunks; Products,1930.00,1930.00,1,true,DENY,1,false,true,L 26.5 cm × W 21 cm × H 11.5 cm (10.4 × 8.3 × 4.5 in),false,false,true,true,true,true,true,384,false,true,7,https://www.oberndoerferco.com/en-de/products/nabuk-yellow-jewelry-leather-box
15070523851077,Necklace Box x Trax NYC,necklace-trunk-x-trax-nyc,ACTIVE,Watchbox,Jewellery boxes,Trunks; Products; JEWELRY; New In; Oberndörfer x Trax NYC,7560.00,7560.00,1,true,DENY,1,false,false,,false,false,true,false,true,true,true,418,false,true,8,https://www.oberndoerferco.com/en-de/products/necklace-trunk-x-trax-nyc
9227177525573,Watch & Jewelry Box - Brown,jewelry-and-watchbox-1,ACTIVE,Watchbox,Jewellery boxes,Featured products; Trunks; Products,619.00,619.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,382,false,true,8,https://www.oberndoerferco.com/en-de/products/jewelry-and-watchbox-1
9227183620421,Watch & Jewelry Box - Orange,jewelry-and-watchbox-orange,ACTIVE,Watchbox,Jewellery boxes,Featured products; Trunks; Products,619.00,619.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,383,false,true,8,https://www.oberndoerferco.com/en-de/products/jewelry-and-watchbox-orange
9227165892933,Watch & Jewelry Box - Turquoise,jewelry-and-watchbox,ACTIVE,Watchbox,Jewellery boxes,Featured products; Trunks; Products,619.00,619.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,391,false,true,7,https://www.oberndoerferco.com/en-de/products/jewelry-and-watchbox
